Order_ID,Customer_ID,Order_Date,Revenue,Profit,Product_Category,Product_Name,Region,Customer_Name,Segment,Join_Date
ORD-10413,CUST-5262,2023-01-01,1738.83,562.35,Accessories,USB Hub,East,Priya Mehta,Consumer,2022-12-08
ORD-10651,CUST-5390,2023-01-01,26111.0,4172.27,Technology,Tablet,West,Vishal Sharma,Corporate,2022-12-22
ORD-10347,CUST-5187,2023-01-02,9062.78,1959.82,Accessories,Webcam,East,Anjali Sawant,Corporate,2022-07-06
ORD-10944,CUST-5504,2023-01-02,6026.06,1214.24,Technology,Router,South,Karan Iyer,Consumer,2022-05-06
ORD-10961,CUST-5578,2023-01-02,13126.16,2012.09,Technology,Monitor,North,Ajay Rao,Consumer,2022-10-14
ORD-10585,CUST-5350,2023-01-04,3305.99,897.0,Accessories,Keyboard,East,Vishal Iyer,Corporate,2022-07-28
ORD-10766,CUST-5457,2023-01-04,34784.12,5041.4,Technology,Tablet,South,Sneha Anvekar,Corporate,2022-09-23
ORD-10951,CUST-5570,2023-01-04,7937.97,1772.38,Accessories,Webcam,North,Shruti Shah,Corporate,2022-09-09
ORD-10389,CUST-5015,2023-01-05,99701.43,9981.74,Technology,Laptop,East,Anjali Nair,Consumer,2022-07-24
ORD-10917,CUST-5548,2023-01-05,96738.94,16032.47,Technology,Desktop,South,Rohit Shah,Corporate,2022-04-23
ORD-10445,CUST-5281,2023-01-06,22783.19,3078.18,Technology,Monitor,West,Preeti Sharma,Consumer,2022-08-12
ORD-11115,CUST-5672,2023-01-06,10693.18,2059.34,Accessories,Headphones,West,Neha Nair,Consumer,2022-07-13
ORD-10263,CUST-5176,2023-01-07,10226.07,2176.04,Accessories,Headphones,East,Rakesh Pillai,Consumer,2022-12-15
ORD-11459,CUST-5889,2023-01-07,71400.54,14003.2,Technology,Phone,East,Deepak Rao,Consumer,2022-10-01
ORD-10628,CUST-5376,2023-01-08,9735.0,1266.56,Technology,Printer,West,Vishal Shah,Consumer,2022-08-13
ORD-10995,CUST-5599,2023-01-08,886.6,310.0,Accessories,Charger,East,Girish Desai,Consumer,2022-09-21
ORD-10493,CUST-5309,2023-01-09,85254.79,8188.29,Technology,Laptop,South,Pooja Malhotra,Corporate,2022-12-03
ORD-11069,CUST-5642,2023-01-09,5009.2,1123.1,Accessories,Headphones,West,Komal Anvekar,Consumer,2022-11-30
ORD-10245,CUST-5039,2023-01-10,21234.08,3785.27,Technology,Tablet,South,Sanjay Jain,Corporate,2022-11-15
ORD-10282,CUST-5092,2023-01-10,5101.92,1039.24,Technology,Router,South,Manisha Jain,Corporate,2022-09-07
